metsävaahtera:Acer platanoides
siankärsämö:Achillea millefolium
ojakärsämö:Achillea ptarmica
vuohenputki:Aegopodium podagraria
tervaleppä:Alnus glutinosa
harmaaleppä:Alnus incana
suokukka:Andromeda polifolia
valkovuokko:Anemone nemorosa
karhunputki:Angelica sylvestris
ahokissankäpälä:Antennaria dioica
vaivaiskoivu:Betula nana
rauduskoivu:Betula pendula
hieskoivu:Betula pubescens
tummarusokki:Bidens tripartita
nurmitatar:Bistorta vivipara
pikkuvesitähti:Callitriche palustris
kanerva:Calluna vulgaris
rentukka:Caltha palustris
näsiä:Daphne mezereum
variksenmarja:Empetrum nigrum
