alli:Clangula hyemalis
allihaahka:Polysticta stelleri
ampuhaukka:Falco columbarius
arosuohaukka:Circus macrourus
avosetti:Recurvirostra avosetta
fasaani:Phasianus colchicus
haahka:Somateria mollissima
haapana:Anas penelope
harakka:Pica pica
harjalintu:Upupa epops
harmaahaikara:Ardea cinerea
harmaasorsa:Anas strepera
heinäkurppa:Gallinago media
helmipöllö:Aegolius funereus
hiirihaukka:Buteo buteo
hiiripöllö:Surnia ulula
hippiäinen:Regulus regulus
huuhkaja:Bubo bubo
hömötiainen:Parus montanus
isokoskelo:Mergus merganser
